tiempos1,km/h1
0.0000,53.30
1.3710,53.78
2.9185,56.45
4.8514,55.46
6.2701,63.22
7.6955,60.14
10.3077,69.46
12.4163,64.03
14.1956,63.13
15.9766,60.27
19.2719,62.38
21.3727,58.82
22.1662,57.76
23.9759,57.80
26.7904,64.92
28.7916,58.59
31.2611,59.37
32.3922,60.69
34.7817,64.97
37.8758,64.03
39.1523,64.58
41.0319,65.64
43.2486,56.09
45.9962,49.18
47.4626,49.18
49.6469,46.49
51.4024,47.17
52.6777,46.48
54.2604,42.96
55.3178,39.88
58.3357,36.50
60.1384,31.53
61.6183,27.45
64.0367,26.82
65.5884,23.08
68.2871,23.18
71.8775,19.83
76.4078,19.13
85.0995,2.75
90.5732,25.24
92.9583,32.91
94.9224,38.05
97.1963,41.76
99.2473,45.56
102.6137,47.50
105.7366,42.84
108.4698,41.71
110.3191,46.26
111.7035,49.85
114.8513,51.38
117.2213,53.67
118.8408,49.36
121.5057,57.98
124.7661,46.34
126.2620,48.53
127.9370,47.50
130.8352,46.48
132.0199,50.75
134.2724,52.50
136.7479,52.20
138.2565,49.73
139.9899,53.26
142.2839,54.81
144.0905,55.38
145.1418,55.18
146.6265,58.50
147.7341,55.41
149.2482,67.11
153.6467,69.54
155.1931,66.36
157.0215,72.95
159.6025,68.89
160.4566,66.99
161.8031,66.59
163.0477,65.03
165.5259,57.39
166.1242,56.14
167.6009,60.85
169.3914,60.88
170.3888,61.42
172.4932,64.00
174.5871,63.30
175.7057,64.94
178.0355,58.56
179.6848,57.93
181.0740,57.28
182.4940,57.95
183.8570,57.72
185.6044,54.72
188.0712,56.26
189.9133,56.00
191.0232,58.19
193.5109,56.18
194.8531,51.98
196.3637,51.97
198.0101,53.78
199.4942,55.43
201.3940,55.28
202.6845,54.65
204.2902,53.23
205.1271,62.11
207.1570,57.74
208.5647,52.97
209.8093,44.67
211.2875,36.94
214.1165,34.73
216.3249,29.30
217.9137,25.56
219.8963,23.14
222.3470,22.69
226.1050,27.78
228.1675,23.87
230.1981,20.71
233.6364,12.33
237.6760,4.67
240.8807,11.37
244.3470,15.25
246.7949,22.80
248.8883,23.10
251.9880,29.55
253.9083,32.79
255.9090,38.03
258.1306,42.26
260.6254,43.01
262.6385,43.00
265.3483,44.68
268.3809,46.00
269.8236,48.48
271.4901,50.26
273.4156,51.29
275.1912,50.00
276.8224,44.26
278.4455,52.11
280.1878,54.66
281.7829,55.58
282.9162,56.10
284.8211,59.14
288.4977,52.79
289.5478,53.10
291.6213,53.55
294.4363,50.05
295.9875,52.78
298.6900,51.48
300.7742,49.31
302.5162,53.21
304.1954,50.80
305.6131,46.43
308.2311,46.46
309.7361,50.06
312.4122,57.13
314.6831,53.80
316.1225,53.91
317.4875,54.55
319.7525,57.13
321.3277,56.26
323.2180,54.76
325.9248,52.71
327.4548,50.67
329.0995,51.58
329.6403,67.10
332.0995,51.69
334.0033,49.93
336.5640,45.92
337.9840,46.46
341.8740,49.25
344.0913,44.34
346.6713,37.59
349.3924,38.23
351.4360,38.06
353.1596,37.02
354.4805,34.57
356.4539,32.22
358.0984,14.65
363.2255,10.02
366.9682,20.15
370.3494,21.03
372.5843,27.80
374.7624,32.21
378.4429,39.48
381.1347,40.88
383.7212,42.21
384.8034,44.30
388.0069,47.58
390.8146,49.96
393.8622,52.32
396.5617,46.23
398.5726,46.40
399.7677,48.28
402.3763,41.50
404.2927,40.17
408.2230,43.04
410.4019,40.84
412.0627,36.46
414.9103,39.17
416.4770,36.96
418.0167,38.54
419.8456,38.69
422.1706,39.61
424.7336,43.52
425.6618,40.78
427.4010,39.47
429.6574,37.56
431.0976,35.86
434.8983,39.49
437.3986,37.60
438.9300,37.36
440.6439,35.73
441.9340,33.85
443.2278,34.23
444.8599,37.31
447.7804,32.21
449.9719,29.16
453.5363,21.59
457.7217,9.42
463.5510,17.28
466.4347,14.29
469.9297,5.80
474.9253,26.10
478.5416,28.47
480.3521,33.12
482.8447,33.84
485.3316,38.82
486.5126,45.99
488.9091,43.70
490.8297,47.62
492.7929,48.46
494.5920,44.72
497.2423,53.99
499.7237,46.72
500.9647,47.59
503.5529,49.21
505.7525,49.29
507.7084,49.14
508.9582,48.43
510.8921,53.78
513.7215,52.31
515.2266,51.52
517.4235,55.52
519.1989,56.17
521.8160,53.24
524.8128,53.81
529.6521,47.61
531.3073,46.40
533.5799,39.26
534.7517,34.07
536.7939,24.58
540.4495,22.23
543.2972,18.25
547.5072,20.42
549.8861,23.29
552.3793,24.31
554.8254,27.80
557.7305,28.00
560.0025,27.80
562.6696,27.12
564.2227,27.52
566.2671,28.71
568.5287,27.94
570.6565,25.54
573.0044,18.78
576.8446,5.08
583.7541,18.06
586.7743,26.80
588.5773,26.83
590.8201,29.79
593.6338,30.75
596.0733,33.58
598.1362,38.20
600.9025,38.79
604.0042,43.76
605.8237,44.94
608.2880,46.71
609.5516,51.55
609.7479,63.83
611.3774,54.71
613.9529,46.71
615.8411,49.04
619.8084,51.48
622.3416,49.25
624.1070,51.83
625.5856,52.99
627.9660,50.68
631.2360,49.94
632.4972,51.58
634.9038,55.30
